index,label
0,3
1,6
2,2
3,2
4,13
5,16
6,8
7,22
8,3
9,3
10,18
11,10
12,16
13,22
14,20
15,16
16,17
17,13
18,13
19,19
20,18
21,21
22,16
23,23
24,3
25,23
26,24
27,18
28,22
29,1
30,1
31,12
32,2
33,6
34,2
35,12
36,23
37,2
38,3
39,13
40,11
41,15
42,20
43,2
44,4
45,10
46,0
47,19
48,5
49,7
50,0
51,11
52,6
53,21
54,18
55,19
56,21
57,7
58,0
59,0
60,4
61,14
62,15
63,10
64,5
65,19
66,2
67,13
68,7
69,16
70,12
71,8
72,15
73,11
74,21
75,14
76,10
77,6
78,18
79,11
80,16
81,14
82,16
83,18
84,4
85,2
86,16
87,14
88,23
89,0
90,21
91,16
92,10
93,14
94,17
95,1
96,15
97,18
98,4
99,16
100,12
101,19
102,18
103,12
104,18
105,10
106,1
107,5
108,21
109,18
110,10
111,10
112,22
113,4
114,19
115,11
116,12
117,1
118,10
119,5
120,20
121,0
122,20
123,11
124,23
125,14
126,0
127,23
128,10
129,7
130,24
131,5
132,15
133,20
134,20
135,19
136,6
137,20
138,19
139,3
140,24
141,4
142,12
143,10
144,8
145,8
146,6
147,21
148,13
149,2
150,20
151,1
152,19
153,14
154,19
155,18
156,11
157,17
158,20
159,21
160,3
161,4
162,23
163,7
164,24
165,16
166,21
167,20
168,23
169,8
170,4
171,22
172,7
173,1
174,19
175,15
176,15
177,4
178,14
179,14
180,23
181,2
182,11
183,18
184,1
185,8
186,3
187,5
188,11
189,14
190,18
191,14
192,5
193,5
194,22
195,10
196,2
197,13
198,3
199,16
200,22
201,18
202,6
203,16
204,19
205,22
206,19
207,6
208,21
209,20
210,13
211,17
212,10
213,24
214,23
215,15
216,18
217,15
218,3
219,3
220,0
221,0
222,1
223,7
224,21
225,19
226,19
227,2
228,10
229,20
230,19
231,14
232,8
233,11
234,14
235,17
236,23
237,17
238,11
239,24
240,15
241,18
242,18
243,3
244,13
245,0
246,2
247,22
248,18
249,15
250,6
251,1
252,10
253,17
254,1
255,15
256,18
257,23
258,23
259,13
260,0
261,11
262,6
263,3
264,16
265,20
266,18
267,0
268,6
269,1
270,24
271,16
272,4
273,19
274,14
275,1
276,17
277,20
278,2
279,7
280,14
281,3
282,2
283,21
284,0
285,22
286,18
287,0
288,10
289,24
290,16
291,13
292,0
293,14
294,20
295,6
296,16
297,0
298,16
299,22
300,20
301,15
302,10
303,21
304,14
305,10
306,19
307,2
308,11
309,21
310,13
311,8
312,20
313,22
314,13
315,22
316,19
317,22
318,15
319,4
320,6
321,18
322,3
323,19
324,13
325,3
326,20
327,21
328,16
329,20
330,5
331,24
332,16
333,1
334,14
335,10
336,11
337,11
338,19
339,16
340,20
341,10
342,17
343,24
344,0
345,7
346,7
347,24
348,23
349,19
350,11
351,10
352,21
353,17
354,11
355,18
356,13
357,13
358,23
359,8
360,23
361,19
362,19
363,11
364,16
365,6
366,0
367,0
368,6
369,14
370,23
371,3
372,18
373,6
374,12
375,6
376,20
377,5
378,14
379,18
380,2
381,19
382,11
383,10
384,6
385,14
386,6
387,1
388,0
389,7
390,16
391,15
392,19
393,14
394,19
395,0
396,12
397,11
398,4
399,22
400,11
401,7
402,6
403,22
404,23
405,12
406,11
407,24
408,11
409,16
410,19
411,16
412,11
413,0
414,2
415,0
416,7
417,18
418,14
419,17
420,14
421,2
422,2
423,11
424,11
425,10
426,17
427,5
428,15
429,1
430,14
431,11
432,7
433,22
434,18
435,18
436,8
437,4
438,15
439,11
440,5
441,11
442,8
443,22
444,15
445,23
446,16
447,8
448,19
449,6
450,11
451,4
452,18
453,23
454,10
455,15
456,13
457,21
458,11
459,22
460,20
461,3
462,8
463,12
464,1
465,14
466,8
467,0
468,23
469,11
470,20
471,7
472,22
473,13
474,7
475,13
476,21
477,2
478,22
479,17
480,1
481,23
482,17
483,13
484,0
485,13
486,15
487,20
488,4
489,8
490,19
491,19
492,19
493,6
494,1
495,17
496,15
497,19
498,20
499,11
500,20
501,15
502,18
503,16
504,5
505,23
506,3
507,18
508,2
509,8
510,19
511,5
512,22
513,0
514,17
515,6
516,4
517,5
518,13
519,2
520,6
521,23
522,22
523,21
524,12
525,11
526,11
527,11
528,24
529,12
530,19
531,0
532,10
533,23
534,4
535,2
536,11
537,4
538,3
539,4
540,24
541,2
542,8
543,17
544,5
545,10
546,8
547,7
548,5
549,23
550,20
551,0
552,3
553,1
554,24
555,10
556,11
557,23
558,3
559,12
560,17
561,16
562,17
563,19
564,1
565,5
566,18
567,14
568,19
569,15
570,11
571,2
572,11
573,14
574,12
575,21
576,15
577,16
578,18
579,3
580,3
581,3
582,15
583,2
584,5
585,15
586,12
587,19
588,11
589,22
590,13
591,15
592,21
593,1
594,16
595,3
596,12
597,21
598,6
599,2
600,11
601,4
602,8
603,7
604,21
605,17
606,16
607,6
608,3
609,8
610,15
611,6
612,23
613,4
614,12
615,10
616,16
617,20
618,5
619,11
620,0
621,17
622,17
623,20
624,21
625,23
626,11
627,1
628,4
629,8
630,5
631,4
632,4
633,18
634,4
635,21
636,21
637,14
638,4
639,17
640,19
641,11
642,7
643,23
644,15
645,19
646,19
647,17
648,18
649,16
650,0
651,21
652,3
653,13
654,16
655,5
656,2
657,12
658,19
659,2
660,2
661,0
662,8
663,7
664,3
665,24
666,5
667,11
668,11
669,8
670,24
671,5
672,5
673,16
674,6
675,3
676,17
677,15
678,6
679,15
680,20
681,22
682,16
683,6
684,15
685,24
686,2
687,19
688,18
689,1
690,6
691,14
692,23
693,13
694,2
695,14
696,1
697,12
698,19
699,20
700,21
701,0
702,8
703,15
704,14
705,2
706,8
707,4
708,5
709,21
710,2
711,23
712,5
713,8
714,17
715,10
716,23
717,4
718,16
719,24
720,1
721,23
722,2
723,0
724,12
725,6
726,2
727,1
728,20
729,7
730,13
731,17
732,12
733,6
734,18
735,2
736,24
737,21
738,6
739,12
740,4
741,21
742,16
743,0
744,4
745,12
746,16
747,23
748,1
749,5
750,6
751,23
752,15
753,2
754,22
755,2
756,20
757,23
758,0
759,19
760,3
761,17
762,17
763,6
764,23
765,18
766,19
767,3
768,24
769,12
770,3
771,14
772,21
773,13
774,10
775,15
776,16
777,19
778,2
779,19
780,13
781,16
782,21
783,23
784,18
785,22
786,13
787,12
788,6
789,20
790,8
791,16
792,3
793,19
794,11
795,18
796,20
797,13
798,15
799,12
800,10
801,2
802,21
803,11
804,2
805,14
806,1
807,24
808,24
809,12
810,13
811,24
812,0
813,21
814,8
815,6
816,15
817,23
818,14
819,21
820,15
821,10
822,14
823,12
824,4
825,11
826,11
827,0
828,14
829,3
830,21
831,2
832,3
833,20
834,12
835,11
836,10
837,0
838,18
839,15
840,19
841,19
842,24
843,24
844,17
845,4
846,18
847,21
848,0
849,23
850,17
851,11
852,4
853,8
854,17
855,14
856,21
857,1
858,8
859,17
860,14
861,5
862,14
863,3
864,16
865,0
866,23
867,21
868,5
869,10
870,11
871,10
872,4
873,4
874,18
875,22
876,0
877,10
878,17
879,11
880,17
881,14
882,18
883,8
884,20
885,15
886,15
887,18
888,24
889,16
890,18
891,22
892,14
893,6
894,17
895,2
896,19
897,2
898,19
899,19
900,2
901,0
902,20
903,7
904,22
905,8
906,19
907,19
908,7
909,15
910,14
911,0
912,16
913,8
914,3
915,24
916,5
917,0
918,0
919,5
920,12
921,7
922,10
923,6
924,20
925,6
926,1
927,13
928,0
929,21
930,0
931,16
932,21
933,3
934,13
935,15
936,20
937,10
938,2
939,6
940,7
941,12
942,16
943,10
944,4
945,16
946,19
947,15
948,16
949,24
950,2
951,17
952,6
953,10
954,15
955,10
956,6
957,2
958,1
959,14
960,11
961,5
962,19
963,21
964,3
965,23
966,7
967,0
968,0
969,10
970,12
971,11
972,8
973,17
974,6
975,4
976,5
977,3
978,10
979,7
980,6
981,22
982,1
983,5
984,13
985,0
986,14
987,17
988,20
989,5
990,15
991,6
992,6
993,6
994,1
995,14
996,12
997,16
998,6
999,13
1000,13
1001,19
1002,22
1003,22
1004,4
1005,18
1006,12
1007,11
1008,2
1009,3
1010,16
1011,7
1012,11
1013,6
1014,17
1015,14
1016,7
1017,10
1018,23
1019,11
1020,17
1021,7
1022,16
1023,20
1024,12
1025,10
1026,24
1027,4
1028,22
1029,16
1030,10
1031,3
1032,6
1033,19
1034,14
1035,7
1036,23
1037,2
1038,14
1039,3
1040,21
1041,7
1042,18
1043,7
1044,2
1045,12
1046,2
1047,17
1048,8
1049,11
1050,4
1051,22
1052,24
1053,22
1054,23
1055,16
1056,18
1057,15
1058,16
1059,13
1060,21
1061,16
1062,24
1063,8
1064,22
1065,6
1066,0
1067,12
1068,23
1069,11
1070,24
1071,19
1072,16
1073,6
1074,11
1075,3
1076,10
1077,5
1078,3
1079,5
1080,10
1081,24
1082,22
1083,24
1084,19
1085,2
1086,0
1087,5
1088,17
1089,1
1090,22
1091,19
1092,4
1093,14
1094,8
1095,3
1096,8
1097,15
1098,2
1099,8
1100,8
1101,5
1102,20
1103,5
1104,14
1105,10
1106,19
1107,1
1108,14
1109,11
1110,15
1111,14
1112,4
1113,10
1114,22
1115,21
1116,4
1117,23
1118,12
1119,3
1120,11
1121,17
1122,16
1123,17
1124,7
1125,0
1126,11
1127,20
1128,4
1129,17
1130,20
1131,22
1132,6
1133,20
1134,13
1135,11
1136,16
1137,12
1138,2
1139,14
1140,21
1141,11
1142,16
